lng,lat
-0.5103593,51.4996439
-2.1773951,53.3640719
-1.6243398,51.9125854
-0.1349102,51.5061623
-0.1477679,51.5409148
0.0778279,51.0945251
-0.1607759,51.4990877
-2.735016,52.0184314
-2.5181868,53.4938365
-0.0615808,52.0438439
-0.1976102,51.5033512
-1.5448611,53.7932347
0.0807683,51.6207317
-0.0380607,51.4921318
-0.2113504,51.4752804
-0.1743739,51.5379645
0.0725499,51.5021433
-1.3598149,51.7114217
-2.2006924,49.2017781
-0.5570666,51.6472756
-0.0213821,51.4152617
-2.4840061,57.1837881
-0.1610244,51.4921476
-3.2328078,51.5096267
-0.1529537,51.5091798
-0.2109053,51.4291581
-0.2135467,51.5371781
-4.3513057,50.9729373
-4.3513057,50.9729373
0.0348431,51.1577859
-0.21093,51.4470328
